Lucifer	Lucifer	np1	Lucifer	Lucifer	0
armis	armis	fw-la	armis	armis	0
!	!	!	!	!	1
Atque	Atque	fw-la	Atque	atque	0
ipso	ipso	fw-la	ipso	ipso	0
graditur	graditur	fw-la	graditur	graditur	0
vix	vix	fw-la	vix	vix	0
Michaele	Michaele	np1	Michaele	Michaele	0
minor	minor	fw-la	minor	minor	0
!	!	!	!	!	1
Quantis	Quantis	np1	Quantis	Quantis	0
,	,	,	,	,	0
&	&	cc	&	and	0
quam	quam	fw-la	quam	quam	0
funestis	funestis	fw-la	funestis	funestis	0
concurritur	concurritur	fw-la	concurritur	concurritur	0
iris	iris	n1	iris	iris	0
Dum	Dum	fw-la	Dum	dum	0
ferus	ferus	fw-la	ferus	ferus	0
hic	hic	fw-la	hic	hic	0
stellas	stellas	fw-la	stellas	stellas	0
protegit	protegit	fw-la	protegit	protegit	0
,	,	,	,	,	0
ille	ille	fw-la	ille	ille	0
rapit	rapit	fw-la	rapit	rapit	0
!	!	!	!	!	1
Dum	Dum	fw-la	Dum	dum	0
vulsos	vulsos	fw-la	vulsos	vulsos	0
Montes	Montes	fw-la	Montes	montes	0
ceu	ceu	fw-fr	ceu	ceu	0
Tela	Tela	np1	Tela	Tela	0
reciproca	reciproca	fw-mi	reciproca	reciproca	0
torquent	torquent	n-jn	torquent	torquent	0
,	,	,	,	,	0
Et	Et	fw-fr	Et	et	0
non	non	fw-fr	non	non	0
mortali	mortali	fw-la	mortali	mortali	0
desuper	desuper	fw-la	desuper	desuper	0
igne	igne	fw-la	igne	igne	0
pluunt	pluunt	fw-la	pluunt	pluunt	0
:	:	:	:	:	0
Stat	Stat	fw-la	Stat	stat	0
dubius	dubius	fw-la	dubius	dubius	0
cui	cui	fw-la	cui	cvi	0
se	se	fw-la	se	se	0
parti	parti	fw-la	parti	parti	0
concedat	concedat	fw-la	concedat	concedat	0
Olympus	Olympus	np1	Olympus	Olympus	0
,	,	,	,	,	0
Et	Et	fw-la	Et	et	0
metuit	metuit	n1	metuit	metuit	0
pugnae	pugnae	fw-la	pugnae	pugnae	0
non	non	fw-fr	non	non	0
superesse	superesse	n1	superesse	superesse	0
suae	suae	fw-la	suae	svae	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
simul	simul	fw-la	simul	simul	0
in	in	p-acp	in	in	0
clis	clis	fw-la	clis	clis	0
Messiae	Messiae	np1	Messiae	Messiae	0
insignia	insignia	n1	insignia	insignia	0
fulgent	fulgent	j	fulgent	fulgent	0
,	,	,	,	,	0
Et	Et	fw-la	Et	et	0
currus	currus	fw-la	currus	currus	0
animes	animes	n2	animes	anime	0
,	,	,	,	,	0
armaque	armaque	fw-la	armaque	armaque	0
digna	digna	fw-la	digna	digna	0
Deo	Deo	fw-la	Deo	deo	0
,	,	,	,	,	0
Horrendumque	Horrendumque	fw-la	Horrendumque	horrendumque	0
rotae	rotae	fw-la	rotae	rotae	0
strident	strident	n1	strident	strident	0
,	,	,	,	,	0
&	&	cc	&	and	0
soeva	soeva	fw-la	soeva	soeva	0
rotaruns	rotaruns	fw-la	rotaruns	rotaruns	0
