,am_ep,paradiselost,fq1596,fowre_hymnes,axiochus,prothalamion
access,0.0,12.931085022710425,1.8472978603872037,0.0,0.0,0.0
accesse,0.0,0.0,2.252762968495368,0.0,0.0,0.0
accessible,0.0,2.252762968495368,0.0,0.0,0.0,0.0
accessories,0.0,2.252762968495368,0.0,0.0,0.0,0.0
accident,0.0,0.0,22.52762968495368,0.0,0.0,0.0
accidents,1.8472978603872037,0.0,3.6945957207744073,0.0,0.0,0.0
acclaim,0.0,6.758288905486104,0.0,0.0,0.0,0.0
acclamation,0.0,2.252762968495368,0.0,0.0,0.0,0.0
acclamations,0.0,2.252762968495368,0.0,0.0,0.0,0.0
accloys,0.0,0.0,2.252762968495368,0.0,0.0,0.0
accoiled,0.0,0.0,2.252762968495368,0.0,0.0,0.0
accompanied,1.5596157879354227,7.798078939677113,10.917310515547959,0.0,0.0,0.0
accompany,0.0,0.0,4.505525936990736,0.0,0.0,0.0
accomplish,0.0,0.0,6.758288905486104,0.0,0.0,0.0
accomplished,0.0,5.541893581161611,3.6945957207744073,0.0,0.0,0.0
accomplishing,0.0,2.252762968495368,0.0,0.0,0.0,0.0
accomplishment,2.252762968495368,0.0,0.0,0.0,0.0,0.0
accompts,2.252762968495368,0.0,0.0,0.0,0.0,0.0
accordance,0.0,0.0,4.505525936990736,0.0,0.0,0.0
accorded,0.0,0.0,9.011051873981472,0.0,0.0,0.0
according,0.0,10.917310515547959,29.632699970773032,4.678847363806268,0.0,0.0
accordingly,0.0,1.5596157879354227,1.5596157879354227,1.5596157879354227,0.0,0.0
accost,0.0,1.8472978603872037,1.8472978603872037,0.0,0.0,0.0
accosting,0.0,0.0,2.252762968495368,0.0,0.0,0.0
accosts,0.0,2.252762968495368,0.0,0.0,0.0,0.0
accountable,0.0,4.505525936990736,0.0,0.0,0.0,0.0
accounted,0.0,0.0,3.6945957207744073,0.0,1.8472978603872037,0.0
accourage,0.0,0.0,4.505525936990736,0.0,0.0,0.0
accourting,0.0,0.0,2.252762968495368,0.0,0.0,0.0
accoyed,0.0,0.0,2.252762968495368,0.0,0.0,0.0
accrue,0.0,0.0,1.8472978603872037,0.0,1.8472978603872037,0.0
accrued,0.0,0.0,2.252762968495368,0.0,0.0,0.0
accusation,0.0,4.505525936990736,0.0,0.0,0.0,0.0
accused,0.0,3.1192315758708453,9.357694727612536,1.5596157879354227,0.0,0.0
accusements,0.0,0.0,2.252762968495368,0.0,0.0,0.0
accuser,0.0,3.6945957207744073,1.8472978603872037,0.0,0.0,0.0
accusing,0.0,0.0,11.26381484247684,0.0,0.0,0.0
accustomd,0.0,4.505525936990736,0.0,0.0,0.0,0.0
accustomed,0.0,0.0,4.505525936990736,0.0,0.0,0.0
achates,0.0,0.0,2.252762968495368,0.0,0.0,0.0
acheron,0.0,1.5596157879354227,1.5596157879354227,0.0,1.5596157879354227,0.0
achieve,1.5596157879354227,1.5596157879354227,6.238463151741691,0.0,0.0,0.0
achieved,0.0,12.931085022710425,14.77838288309763,0.0,0.0,0.0
achievement,0.0,0.0,20.274866716458313,0.0,0.0,0.0
achievements,0.0,0.0,6.758288905486104,0.0,0.0,0.0
achieven,0.0,0.0,2.252762968495368,0.0,0.0,0.0
achieving,0.0,2.252762968495368,0.0,0.0,0.0,0.0
achilles,0.0,1.5596157879354227,1.5596157879354227,1.5596157879354227,0.0,0.0
acidale,0.0,0.0,2.252762968495368,0.0,0.0,0.0
acidalian,2.252762968495368,0.0,0.0,0.0,0.0,0.0
acies,0.0,2.252762968495368,0.0,0.0,0.0,0.0
acknowledge,0.0,11.26381484247684,0.0,0.0,0.0,0.0
acknowledged,0.0,3.6945957207744073,3.6945957207744073,0.0,0.0,0.0
acontius,0.0,0.0,2.252762968495368,0.0,0.0,0.0
acquaint,0.0,2.252762968495368,0.0,0.0,0.0,0.0
acquaintance,0.0,0.0,3.6945957207744073,0.0,1.8472978603872037,0.0
acquainted,0.0,0.0,4.505525936990736,0.0,0.0,0.0
acquainting,0.0,0.0,0.0,0.0,2.252762968495368,0.0
acquit,1.8472978603872037,0.0,16.625680743484832,0.0,0.0,0.0
acquittance,0.0,2.252762968495368,0.0,0.0,0.0,0.0
acquitted,0.0,2.252762968495368,0.0,0.0,0.0,0.0
acrasia,0.0,0.0,18.022103747962944,0.0,0.0,0.0
acrasie,0.0,0.0,2.252762968495368,0.0,0.0,0.0
acrates,0.0,0.0,11.26381484247684,0.0,0.0,0.0
acres,0.0,0.0,2.252762968495368,0.0,0.0,0.0
acruell,0.0,0.0,2.252762968495368,0.0,0.0,0.0
act,0.0,27.709467905808054,7.389191441548815,0.0,0.0,0.0
actea,0.0,0.0,2.252762968495368,0.0,0.0,0.0
actions,0.0,4.678847363806268,4.678847363806268,1.5596157879354227,0.0,0.0
actium,0.0,5.541893581161611,1.8472978603872037,0.0,0.0,0.0
active,0.0,4.505525936990736,0.0,0.0,0.0,0.0
activity,0.0,0.0,2.252762968495368,0.0,0.0,0.0
actors,0.0,0.0,2.252762968495368,0.0,0.0,0.0
acts,0.0,14.036542091418804,1.5596157879354227,1.5596157879354227,0.0,0.0
actual,0.0,2.252762968495368,0.0,0.0,0.0,0.0
ad,0.0,2.252762968495368,0.0,0.0,0.0,0.0
adam,0.0,263.57326731395807,0.0,0.0,0.0,0.0
adamant,1.5596157879354227,6.238463151741691,6.238463151741691,0.0,0.0,0.0
adamantine,0.0,6.238463151741691,3.1192315758708453,3.1192315758708453,0.0,0.0
adamants,0.0,0.0,2.252762968495368,0.0,0.0,0.0
adams,0.0,16.625680743484832,1.8472978603872037,0.0,0.0,0.0
adaw,0.0,0.0,6.758288905486104,0.0,0.0,0.0
adawed,0.0,0.0,4.505525936990736,0.0,0.0,0.0
add,0.0,17.15577366728965,9.357694727612536,1.5596157879354227,0.0,0.0
added,0.0,11.083787162323222,11.083787162323222,0.0,0.0,0.0
addeem,0.0,0.0,2.252762968495368,0.0,0.0,0.0
adder,0.0,1.8472978603872037,1.8472978603872037,0.0,0.0,0.0
adders,1.8472978603872037,0.0,1.8472978603872037,0.0,0.0,0.0
adding,0.0,0.0,9.011051873981472,0.0,0.0,0.0
addition,0.0,4.505525936990736,0.0,0.0,0.0,0.0
address,1.5596157879354227,1.5596157879354227,28.073084182837608,0.0,0.0,0.0
addressed,0.0,7.389191441548815,57.26623367200332,0.0,0.0,0.0
addressing,0.0,0.0,2.252762968495368,0.0,0.0,0.0
ade,4.505525936990736,0.0,0.0,0.0,0.0,0.0
ades,0.0,2.252762968495368,0.0,0.0,0.0,0.0
adhere,0.0,4.505525936990736,0.0,0.0,0.0,0.0
adherents,0.0,4.505525936990736,0.0,0.0,0.0,0.0
adicia,0.0,0.0,4.505525936990736,0.0,0.0,0.0
adieu,1.5596157879354227,0.0,1.5596157879354227,1.5596157879354227,0.0,0.0
adin,0.0,0.0,2.252762968495368,0.0,0.0,0.0
adjoined,0.0,1.8472978603872037,1.8472978603872037,0.0,0.0,0.0
adjoining,0.0,1.8472978603872037,7.389191441548815,0.0,0.0,0.0
adjourn,0.0,2.252762968495368,0.0,0.0,0.0,0.0
adjudged,0.0,5.541893581161611,9.236489301936018,0.0,0.0,0.0
adjunct,0.0,2.252762968495368,0.0,0.0,0.0,0.0
adjured,0.0,0.0,2.252762968495368,0.0,0.0,0.0
admetus,0.0,0.0,2.252762968495368,0.0,0.0,0.0
admirable,0.0,0.0,5.541893581161611,5.541893581161611,0.0,0.0
admiral,0.0,2.252762968495368,0.0,0.0,0.0,0.0
admirance,0.0,0.0,2.252762968495368,0.0,0.0,0.0
admiration,0.0,7.389191441548815,0.0,3.6945957207744073,0.0,0.0
admirer,0.0,0.0,2.252762968495368,0.0,0.0,0.0
admires,0.0,0.0,1.8472978603872037,1.8472978603872037,0.0,0.0
admirest,0.0,2.252762968495368,0.0,0.0,0.0,0.0
admiring,0.0,9.236489301936018,3.6945957207744073,0.0,0.0,0.0
admistis,0.0,2.252762968495368,0.0,0.0,0.0,0.0
admit,0.0,7.389191441548815,3.6945957207744073,0.0,0.0,0.0
admitted,0.0,0.0,4.505525936990736,0.0,0.0,0.0
admitting,0.0,2.252762968495368,0.0,0.0,0.0,0.0
admonish,0.0,4.505525936990736,0.0,0.0,0.0,0.0
admonished,0.0,4.505525936990736,0.0,0.0,0.0,0.0
admonishment,0.0,2.252762968495368,0.0,0.0,0.0,0.0
admonitions,0.0,2.252762968495368,0.0,0.0,0.0,0.0
ado,0.0,0.0,6.758288905486104,0.0,0.0,0.0
adonis,0.0,3.6945957207744073,12.931085022710425,0.0,0.0,0.0
adopted,0.0,2.252762968495368,0.0,0.0,0.0,0.0
adoration,0.0,9.011051873981472,0.0,0.0,0.0,0.0
adored,0.0,9.236489301936018,12.931085022710425,0.0,0.0,0.0
adorers,0.0,2.252762968495368,0.0,0.0,0.0,0.0
adoring,0.0,1.8472978603872037,3.6945957207744073,0.0,0.0,0.0
adorning,0.0,0.0,0.0,2.252762968495368,0.0,0.0
adorns,0.0,1.8472978603872037,3.6945957207744073,0.0,0.0,0.0
adown,0.0,0.0,65.50386309328775,1.5596157879354227,0.0,1.5596157879354227
adraenelec,0.0,2.252762968495368,0.0,0.0,0.0,0.0
adread,0.0,0.0,2.252762968495368,0.0,0.0,0.0
adria,0.0,2.252762968495368,0.0,0.0,0.0,0.0
adrian,0.0,0.0,2.252762968495368,0.0,0.0,0.0
adrift,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aduenture,0.0,0.0,4.505525936990736,0.0,0.0,0.0
aduenturons,0.0,0.0,0.0,2.252762968495368,0.0,0.0
adueuture,0.0,0.0,2.252762968495368,0.0,0.0,0.0
adulterous,0.0,2.252762968495368,0.0,0.0,0.0,0.0
adultery,0.0,1.8472978603872037,1.8472978603872037,0.0,0.0,0.0
adust,0.0,2.252762968495368,0.0,0.0,0.0,0.0
adusted,0.0,2.252762968495368,0.0,0.0,0.0,0.0
advanced,0.0,18.715389455225072,23.39423681903134,0.0,1.5596157879354227,0.0
advancement,0.0,0.0,6.758288905486104,0.0,0.0,0.0
advancing,0.0,1.8472978603872037,9.236489301936018,0.0,0.0,0.0
advantage,0.0,11.083787162323222,55.41893581161611,0.0,0.0,0.0
advantageous,0.0,2.252762968495368,0.0,0.0,0.0,0.0
