chose,8
two,24
falsest,3
twoo,1
fittest,1
forge,2
seeming,18
lyes,5
message,5
doo,1
speedy,3
spersed,1
ayre,9
waters,3
hastily,5
repaire,6
earth,27
steepe,9
dawning,6
peepe,1
tethys,2
wet,2
bed,12
wash,6
cynthia,2
whiles,27
ma,1
n,11
tle,1
double,7
gates,4
findeth,1
locked,1
fram,2
burnisht,2
yuory,2
wakefull,2
dogges,1
watching,1
banish,2
enimy,7
sprite,4
quietly,2
comes,11
drowned,5
drowsie,2
fit,18
takes,4
keepe,8
lulle,1
slumber,1
soft,8
trickling,4
rocke,7
tumbling,2
drizling,2
loft,1
mixt,3
murmuring,2
winde,1
sowne,1
bees,1
swowne,4
noyse,5
peoples,5
cryes,3
are,30
t,8
annoy,4
walled,2
towne,1
carelesse,5
quiet,3
eternall,18
enemyes,1
approching,7
wast,7
returnd,4
mought,1
thrust,5
pusht,1
whereat,3
stretch,1
shooke,2
speake,6
dreame,10
dryer,1
braine,3
tost,3
troubled,4
sights,3
fancies,1
mumbled,1
breake,2
wake,3
threatned,2
hecate,1
quake,10
lifting,3
lompish,1
blame,5
hither,12
archimago,7
sent,12
stubborne,9
sprites,2
tame,4
bids,4
send,6
intent,12
false,44
delude,2
sleepers,1
obayde,1
calling,1
prison,2
darke,10
deliuered,3
deuoide,1
carefull,13
carke,1
sences,4
benumbd,1
starke,2
returning,5
yuorie,3
dore,15
remounted,1
chearefull,12
larke,2
winges,1
left,35
afore,5
spright,16
liquid,1
partes,3
liuely,4
mens,9
rauisht,2
quight,13
maker,1
wondrous,31
witt,2
beguiled,3
goodly,42
clad,9
vna,46
ydle,2
elfin,9
soundly,1
void,1
thought,24
shewes,4
abuse,3
fantasy,2
sort,4
schooled,1
priuily,3
dew,9
makers,1
guile,11
vsage,1
sly,1
imitate,1
trew,13
semblance,3
carrie,1
feigned,4
hew,15
instructed,3
comming,4
slomber,1
hardy,3
plast,2
lustfull,4
melt,4
bathed,2
wanton,12
blis,3
ioy,31
playnd,1
winged,2
boy,5
chast,6
subdewd,1
pleasures,4
toy,2
beautie,11
soueraigne,4
waking,2
chastest,1
flowre,9
braunch,2
daughter,21
leman,2
bound,7
graces,1
hymen,2
dauncing,5
around,7
whilst,3
freshest,6
flora,2
yuie,3
girlond,7
crownd,3
passion,7
vnwonted,8
lust,6
doing,3
amis,4
started,2
mistrust,1
secret,27
face,38
blake,1
hyding,2
bayted,1
hooke,1
blushing,3
offred,3
kis,2
blandishment,2
took,1
cleane,3
dismayd,9
enraged,5
shamelesse,1
guise,6
despight,11
heat,14
tempring,2
sufferance,1
wise,21
stayde,2
himselfe,38
sense,3
tempt,5
faigned,2
truth,12
wringing,1
wemens,2
pitteous,6
weepe,7
ruth,5
youth,4
liege,2
loue,56
accuse,2
fate,5
causes,2
wrought,11
blind,7
amate,2
hoped,5
perforce,5
die,18
rew,12
wretched,22
state,14
auenging,5
destinie,2
hath,57
iudge,3
indifferently,1
leaue,18
fathers,3
kingdome,7
stopt,1
teares,11
swollen,3
speach,9
bereaue,1
begun,2
yeares,10
captiu,2
fortune,12
frayle,3
feares,4
succour,2
dye,7
languor,1
why,16
frayes,2
comfort,9
affrayd,3
lets,1
wearie,28
anguish,13
vnpittied,1
plaint,4
doubtfull,9
words,22
redoubted,4
suspect,2
since,15
vntruth,1
knew,16
fawning,3
disdainefull,2
spight,6
shend,1
grew,15
assure,2
fell,35
deeme,3
procure,1
smart,14
cause,27
depart,3
appease,3
mournefull,5
plaintes,1
art,10
chuse,1
please,7
slyding,1
softly,7
turnd,9
ease,9
musing,3
mood,9
grieu,2
defence,4
wearinesse,1
former,8
yrockt,1
